"ItemName","ValueType","ItemCode","IsActive","ItemName_en-US","ItemName_zh-Hans"
"APDCE01-DCE 交易相关 - 保证金入金-银行到期货公司","custom","APDCE01","True","","APDCE01-DCE 交易相关 - 保证金入金-银行到期货公司"
"APDCE02","custom","APDCE02","False","","APDCE02"
"APDCE03","custom","APDCE03","False","","APDCE03"
"APBZJ01-采购保证金 - 保证金/押金退款","custom","APBZJ01","True","","APBZJ01-采购保证金 - 保证金/押金退款"
"APDZS01-大宗商品交易产品-货款/相关关税、增值税","custom","APDZS01","True","","APDZS01-大宗商品交易产品-货款/相关关税、增值税"
"APDZS02-大宗商品交易产品-货款(境外关联公司）& 相关关税、增值税≥5,000","custom","APDZS02","True","","APDZS02-大宗商品交易产品-货款(境外关联公司）& 相关关税、增值税≥5,000"
"APDZS03-大宗商品交易产品-货款(第三方公司)≥5,000","custom","APDZS03","True","","APDZS03-大宗商品交易产品-货款(第三方公司)≥5,000"
"APGLJ01-关联企业间资金转移 - 同名账户间资金划款","custom","APGLJ01","True","","APGLJ01-关联企业间资金转移 - 同名账户间资金划款"
"APGLJ02-关联企业间资金转移 - 中国国内关联企业间资金转移,清理往来款","custom","APGLJ02","True","","APGLJ02-关联企业间资金转移 - 中国国内关联企业间资金转移,清理往来款"
"APGLJ03-关联企业间资金转移 - 中国国内企业与海外关联企业间资金转移","custom","APGLJ03","True","","APGLJ03-关联企业间资金转移 - 中国国内企业与海外关联企业间资金转移"
"APHR001-人力资源相关付款审批权限 - 工资支付（含个人所得税），社保","custom","APHR001","True","","APHR001-人力资源相关付款审批权限 - 工资支付（含个人所得税），社保"
"APHR002-人力资源相关付款审批权限 - 公司福利费付款","custom","APHR002","True","","APHR002-人力资源相关付款审批权限 - 公司福利费付款"
"APHR003-人力资源相关付款审批权限 - 猎头费","custom","APHR003","True","","APHR003-人力资源相关付款审批权限 - 猎头费"
"APHR004-人力资源相关付款审批权限 - 培训费","custom","APHR004","True","","APHR004-人力资源相关付款审批权限 - 培训费"
"APHR005-人力资源相关付款审批权限 - 员工福利费报销","custom","APHR005","True","","APHR005-人力资源相关付款审批权限 - 员工福利费报销"
"APHR006-人力资源相关付款审批权限 - 员工商业保险","custom","APHR006","True","","APHR006-人力资源相关付款审批权限 - 员工商业保险"
"APHR007-人力资源相关付款审批权限 - 招聘费","custom","APHR007","True","","APHR007-人力资源相关付款审批权限 - 招聘费"
"APYJ001-支付保证金/押金（除房租押金） - 例如：土地投标","custom","APYJ001","True","","APYJ001-支付保证金/押金（除房租押金） - 例如：土地投标"
"APYJ002","custom","APYJ002","False","","APYJ002"
"APPJJ01-间接采购 /工厂OPEX/固定资产-IT类","custom","APPJJ01","True","","APPJJ01-间接采购 /工厂OPEX/固定资产-IT类"
"APPJJ02","custom","APPJJ02","False","","APPJJ02"
"APPJJ03-间接采购 /工厂OPEX/固定资产-非IT类","custom","APPJJ03","True","","APPJJ03-间接采购 /工厂OPEX/固定资产-非IT类"
"APPJJ04","custom","APPJJ04","False","","APPJJ04"
"APPXS01-销售OPEX-IT类","custom","APPXS01","True","","APPXS01-销售OPEX-IT类"
"APPXS02-销售OPEX-非IT类","custom","APPXS02","True","","APPXS02-销售OPEX-非IT类"
"APSYX01-商业保险费用支出","custom","APSYX01","True","","APSYX01-商业保险费用支出"
"APPXS03","custom","APPXS03","False","","APPXS03"
"APPZJ01-直接物料采购","custom","APPZJ01","True","","APPZJ01-直接物料采购"
"APPZJ02-直接物料采购-金额≥100","custom","APPZJ02","False","","APPZJ02-直接物料采购-金额≥100"
"APKTK01-客户退款","custom","APKTK01","True","","APKTK01-客户退款"
"APKTK02-客户退款 - 豆类","custom","APKTK02","True","","APKTK02-客户退款 - 豆类"
"支付项目必须选! 根据业务实际需求选择, 列表可以关键字搜索","custom","根据业务实际需求选择, 列表可以关键字搜索","False","","支付项目必须选! 根据业务实际需求选择, 列表可以关键字搜索"
"AGLFP01-股利分配","custom","AGLFP01","True","","AGLFP01-股利分配"
"APSYX02-商业保险费用支出-金额大于500万元","custom","APSYX02","True","","APSYX02-商业保险费用支出-金额大于500万元"
