"ItemName","ValueType","ItemCode","IsActive","ItemName_en-US","ItemName_zh-Hans"
"FPTYJ01-非合同付款审批权限 - 保证金/押金退款","custom","FPTYJ01","True","","FPTYJ01-非合同付款审批权限 - 保证金/押金退款"
"FPCWB01-非合同付款审批权限 - 财务相关费用-税费支付","custom","FPCWB01","True","","FPCWB01-非合同付款审批权限 - 财务相关费用-税费支付"
"FPGCO01-非合同付款审批权限 - 工厂OPEX","custom","FPGCO01","True","","FPGCO01-非合同付款审批权限 - 工厂OPEX"
"FPGSF01 - 公用事业费用(工厂水、电、天然气、蒸汽费) - 无单价变动","custom","FPGSF01","True","","FPGSF01 - 公用事业费用(工厂水、电、天然气、蒸汽费) - 无单价变动"
"FPGSF02 - 公用事业费用(工厂水、电、天然气、蒸汽费) - 单价上调","custom","FPGSF02","True","","FPGSF02 - 公用事业费用(工厂水、电、天然气、蒸汽费) - 单价上调"
"FPJKS01-非合同付款审批权限 - 进口产品税费","custom","FPJKS01","True","","FPJKS01-非合同付款审批权限 - 进口产品税费"
"FPYST01-非合同付款审批权限 - 经销商/客户预收款退款-多收","custom","FPYST01","True","","FPYST01-非合同付款审批权限 - 经销商/客户预收款退款-多收"
"FPXSO01-非合同付款审批权限 - 销售OPEX","custom","FPXSO01","True","","FPXSO01-非合同付款审批权限 - 销售OPEX"
"FPYFB01-非合同付款审批权限 - 营业所奖卡快递到工厂的运费报销（单次）","custom","FPYFB01","True","","FPYFB01-非合同付款审批权限 - 营业所奖卡快递到工厂的运费报销（单次）"
"FPXZS01-非合同付款审批权限 - 政府收费、行政事业等支出 - 税务相关","custom","FPXZS01","False","","FPXZS01-非合同付款审批权限 - 政府收费、行政事业等支出 - 税务相关"
"FPZBO01-非合同付款审批权限 - 总部OPEX","custom","FPZBO01","True","","FPZBO01-非合同付款审批权限 - 总部OPEX"
"FPXZS02-非合同付款审批权限 - 政府收费、行政事业等支出","custom","FPXZS02","True","","FPXZS02-非合同付款审批权限 - 政府收费、行政事业等支出"
"FPCWB02-非合同付款审批权限 - 财务相关费用-审计费用","custom","FPCWB02","True","","FPCWB02-非合同付款审批权限 - 财务相关费用-审计费用"
"FPGLF01-关联企业资金转移-资金借贷业务项下的中国国内关联企业间资金转移、清理往来款","custom","FPGLF01","True","","FPGLF01-关联企业资金转移-资金借贷业务项下的中国国内关联企业间资金转移、清理往来款"
"FPGLF02-关联企业间资金转移 - 同名账户间资金划款","custom","FPGLF02","True","","FPGLF02-关联企业间资金转移 - 同名账户间资金划款"
"FPGLF03-关联企业间资金转移 -中国国内企业与海外关联企业间资金转移","custom","FPGLF03","True","","FPGLF03-关联企业间资金转移 -中国国内企业与海外关联企业间资金转移"
"FPZFJ01-支付保证金/押金（除房租押金） - 例如：土地投标","custom","FPZFJ01","True","","FPZFJ01-支付保证金/押金（除房租押金） - 例如：土地投标"
"FPHRD01-人力资源相关付款审批权限 - 工资支付 (含个人所得税)，社保 (工厂)","custom","FPHRD01","True","","FPHRD01-人力资源相关付款审批权限 - 工资支付 (含个人所得税)，社保 (工厂)"
"FPHRD02-人力资源相关付款审批权限 - 工资支付 (含个人所得税)，社保 (销售)","custom","FPHRD02","True","","FPHRD02-人力资源相关付款审批权限 - 工资支付 (含个人所得税)，社保 (销售)"
"FPHRD03-人力资源相关付款审批权限 - 工资支付 (含个人所得税)，社保 (总部)","custom","FPHRD03","True","","FPHRD03-人力资源相关付款审批权限 - 工资支付 (含个人所得税)，社保 (总部)"
"FPHRD04-人力资源相关付款审批权限 - 公司福利费付款（工厂）","custom","FPHRD04","True","","FPHRD04-人力资源相关付款审批权限 - 公司福利费付款（工厂）"
"FPHRD05-人力资源相关付款审批权限 - 公司福利费付款（销售）- 付款","custom","FPHRD05","True","","FPHRD05-人力资源相关付款审批权限 - 公司福利费付款（销售）- 付款"
"FPHRD06-人力资源相关付款审批权限 - 公司福利费付款（总部）","custom","FPHRD06","True","","FPHRD06-人力资源相关付款审批权限 - 公司福利费付款（总部）"
"FPHRD07-人力资源相关付款审批权限 - 猎头费","custom","FPHRD07","True","","FPHRD07-人力资源相关付款审批权限 - 猎头费"
"FPHRD08-人力资源相关付款审批权限 - 培训费","custom","FPHRD08","True","","FPHRD08-人力资源相关付款审批权限 - 培训费"
"FPHRD09-人力资源相关付款审批权限 - 其他人资费用（仅适用总部）","custom","FPHRD09","True","","FPHRD09-人力资源相关付款审批权限 - 其他人资费用（仅适用总部）"
"FPHRD10-人力资源相关付款审批权限 - 员工福利费报销（工厂）","custom","FPHRD10","True","","FPHRD10-人力资源相关付款审批权限 - 员工福利费报销（工厂）"
"FPHRD11-人力资源相关付款审批权限 - 员工福利费报销（销售）","custom","FPHRD11","True","","FPHRD11-人力资源相关付款审批权限 - 员工福利费报销（销售）"
"FPHRD12-人力资源相关付款审批权限 - 员工福利费报销（总部）","custom","FPHRD12","True","","FPHRD12-人力资源相关付款审批权限 - 员工福利费报销（总部）"
"FPHRD13-人力资源相关付款审批权限 - 员工商业保险","custom","FPHRD13","True","","FPHRD13-人力资源相关付款审批权限 - 员工商业保险"
"FPHRD14-人力资源相关付款审批权限 - 招聘费","custom","FPHRD14","True","","FPHRD14-人力资源相关付款审批权限 - 招聘费"
"FPACM01-有合同付款 - A&P A/CM类费用","custom","FPACM01","True","","FPACM01-有合同付款 - A&P A/CM类费用"
"FPACM02-有合同付款 - A&P A/CM类费用-电商","custom","FPACM02","True","","FPACM02-有合同付款 - A&P A/CM类费用-电商"
"FPAPC01-有合同付款 - A&P C类费用","custom","FPAPC01","True","","FPAPC01-有合同付款 - A&P C类费用"
"FPAPT01-有合同付款 - A&P T类费用 - T01","custom","FPAPT01","True","","FPAPT01-有合同付款 - A&P T类费用 - T01"
"FPAPT06-有合同付款 - A&P T类费用 - T06","custom","FPAPT06","True","","FPAPT06-有合同付款 - A&P T类费用 - T06"
"FPAPT07-有合同付款 - A&P T类费用 - T07","custom","FPAPT07","True","","FPAPT07-有合同付款 - A&P T类费用 - T07"
"FPCGC01-有合同付款 - Capex（工厂）- (地块与基建+IT)","custom","FPCGC01","True","","FPCGC01-有合同付款 - Capex（工厂）- (地块与基建+IT)"
"FPCGC02-有合同付款 - Capex（工厂）- (地块与基建+品保)","custom","FPCGC02","True","","FPCGC02-有合同付款 - Capex（工厂）- (地块与基建+品保)"
"FPCGC03-有合同付款 - Capex（工厂）- (地块与基建+其他)","custom","FPCGC03","True","","FPCGC03-有合同付款 - Capex（工厂）- (地块与基建+其他)"
"FPCGC04-有合同付款 - Capex（工厂）- (品保相关)","custom","FPCGC04","True","","FPCGC04-有合同付款 - Capex（工厂）- (品保相关)"
"FPCGC05-有合同付款 - Capex（工厂）- (IT相关)","custom","FPCGC05","True","","FPCGC05-有合同付款 - Capex（工厂）- (IT相关)"
"FPCGC06-有合同付款 - Capex（工厂）- (其他)","custom","FPCGC06","True","","FPCGC06-有合同付款 - Capex（工厂）- (其他)"
"FPCXS01-有合同付款 - Capex（销售）- (IT相关)","custom","FPCXS01","True","","FPCXS01-有合同付款 - Capex（销售）- (IT相关)"
"FPCZB01-有合同付款 - Capex（总部）- (IT相关)","custom","FPCZB01","True","","FPCZB01-有合同付款 - Capex（总部）- (IT相关)"
"FPCZB02-有合同付款 - Capex（总部）- (其他)","custom","FPCZB02","True","","FPCZB02-有合同付款 - Capex（总部）- (其他)"
"FPCZB03-有合同付款 - Capex（总部）- (地块与基建+IT相关)","custom","FPCZB03","True","","FPCZB03-有合同付款 - Capex（总部）- (地块与基建+IT相关)"
"FPCZB04-有合同付款 - Capex（总部）- (地块与基建相关)","custom","FPCZB04","True","","FPCZB04-有合同付款 - Capex（总部）- (地块与基建相关)"
"FPCAF01-有合同付款 - CA服务费用","custom","FPCAF01","True","","FPCAF01-有合同付款 - CA服务费用"
"FPDJG01-有合同付款 - 代加工费合同业务付款","custom","FPDJG01","True","","FPDJG01-有合同付款 - 代加工费合同业务付款"
"FPSCF01-有合同付款 - 代加工试车费","custom","FPSCF01","True","","FPSCF01-有合同付款 - 代加工试车费"
"FPFRL01-有合同付款 - 非人力资源相关管理费用（如邮寄费、车辆租赁、会务费、办公用品、饮用水、房租、物业费等）（总部）","custom","FPFRL01","True","","FPFRL01-有合同付款 - 非人力资源相关管理费用（如邮寄费、车辆租赁、会务费、办公用品、饮用水、房租、物业费等）（总部）"
"FPFWF01-有合同付款 - 服务合同（清洁、绿化、保安、膳食、岗位外包、宿舍（办公楼）租赁、通勤车、零星维修、零备件）及其他合同付款（工厂）","custom","FPFWF01","True","","FPFWF01-有合同付款 - 服务合同（清洁、绿化、保安、膳食、岗位外包、宿舍（办公楼）租赁、通勤车、零星维修、零备件）及其他合同付款（工厂）"
"FPBGF01-有合同付款 - 进口产品报关报检代理费","custom","FPBGF01","True","","FPBGF01-有合同付款 - 进口产品报关报检代理费"
"FPSYX01-有合同付款 - 商业保险费用支出","custom","FPSYX01","True","","FPSYX01-有合同付款 - 商业保险费用支出"
"FPYSF01-有合同付款 - 物流运输费(销售运费)","custom","FPYSF01","True","","FPYSF01-有合同付款 - 物流运输费(销售运费)"
"FPYSF02-有合同付款 - 物流运输费(工厂承担如工厂间调拨运费)","custom","FPYSF02","True","","FPYSF02-有合同付款 - 物流运输费(工厂承担如工厂间调拨运费)"
"FPZXF01-有合同付款 - 装卸费、仓储费(部门承担)","custom","FPZXF01","True","","FPZXF01-有合同付款 - 装卸费、仓储费(部门承担)"
"FPZXF02-有合同付款 - 装卸费、仓储费(工厂承担)","custom","FPZXF02","True","","FPZXF02-有合同付款 - 装卸费、仓储费(工厂承担)"
"FPXSY01-有合同付款 - 销售相关业务OPEX（房屋租赁、年会及其他大型会议等）","custom","FPXSY01","True","","FPXSY01-有合同付款 - 销售相关业务OPEX（房屋租赁、年会及其他大型会议等）"
"FPGFK01-有合同付款 - 支付GF货款","custom","FPGFK01","True","","FPGFK01-有合同付款 - 支付GF货款"
"FPZJL01-有合同付款 - 直接物料","custom","FPZJL01","True","","FPZJL01-有合同付款 - 直接物料"
"FPZJC01-有合同付款 - 质量、检测、虫害（工厂）","custom","FPZJC01","True","","FPZJC01-有合同付款 - 质量、检测、虫害（工厂）"
"FPZYF01-有合同付款 - 专业服务费（咨询、顾问、第三方服务）","custom","FPZYF01","True","","FPZYF01-有合同付款 - 专业服务费（咨询、顾问、第三方服务）"
"FPCXS02-有合同付款 - Capex（销售）- (其他)","custom","FPCXS02","True","","FPCXS02-有合同付款 - Capex（销售）- (其他)"
"FPZYF02-有合同付款 - 专业服务费（法务类咨询服务费）","custom","FPZYF02","True","","FPZYF02-有合同付款 - 专业服务费（法务类咨询服务费）"
"支付项目必须选! 根据业务实际需求选择, 列表可以关键字搜索","custom","根据业务实际需求选择, 可以关键字搜索","False","","支付项目必须选! 根据业务实际需求选择, 列表可以关键字搜索"
