"ItemName","ValueType","ItemCode","ParentItemCode","IsActive","ItemName_en-US","ItemName_zh-Hans"
"AQCF01-直接采购-金额<100K","custom","AQCF01","QCF比价单直接采购","True","","AQCF01-直接采购-金额<100K"
"AQCF02-直接采购-金额≥100K","custom","AQCF02","QCF比价单直接采购","True","","AQCF02-直接采购-金额≥100K"
"AQCF03-直接采购-金额≥100K（超预算比例>10%并且总金额大于250万元）","custom","AQCF03","QCF比价单直接采购","True","","AQCF03-直接采购-金额≥100K（超预算比例>10%并且总金额大于250万元）"
"AQCF10-间接采购-金额<100K","custom","AQCF10","QCF比价单间接采购","True","","AQCF10-间接采购-金额<100K"
"AQCF11-间接采购-100K≤金额＜2500K","custom","AQCF11","QCF比价单间接采购","True","","AQCF11-间接采购-100K≤金额＜2500K"
"AQCF12-间接采购- 2500K≤金额＜12500K","custom","AQCF12","QCF比价单间接采购","True","","AQCF12-间接采购- 2500K≤金额＜12500K"
"AQCF13-间接采购（不含储运招标项目）- ≥12500","custom","AQCF13","QCF比价单间接采购","False","","AQCF13-间接采购（不含储运招标项目）- ≥12500"
"AQCF14-间接采购-金额≥12500K","custom","AQCF14","QCF比价单间接采购","True","","AQCF14-间接采购-金额≥12500K"
"AQCF20-已获批QCF未签订合同前变更QCF -没有财务影响","custom","AQCF20","已获批QCF未签订合同前变更QCF","False","","AQCF20-已获批QCF未签订合同前变更QCF -没有财务影响"
"AQCF21-已获批QCF未签订合同前变更QCF - 有潜在或实际财务影响 - 财务影响≤10%且影响金额＜10K","custom","AQCF21","已获批QCF未签订合同前变更QCF","False","","AQCF21-已获批QCF未签订合同前变更QCF - 有潜在或实际财务影响 - 财务影响≤10%且影响金额＜10K"
"AQCF30-储运负责招标项目-0≤X＜2500","custom","AQCF30","储运负责招标项目","False","","AQCF30-储运负责招标项目-0≤X＜2500"
"AQCF31-储运负责招标项目-2500","custom","AQCF31","储运负责招标项目","False","","AQCF31-储运负责招标项目-2500"
"AQCF40-期货公司招标","custom","AQCF40","期货公司招标","True","","AQCF40-期货公司招标"
"AQCF04-直接采购-金额≥250K (ChinaCEO审批)","custom","AQCF04","QCF比价单直接采购","True","","AQCF04-直接采购-金额≥250K (ChinaCEO审批)"
"AQCF15-间接采购-金额＜100K(CAPEX)","custom","AQCF15","QCF比价单间接采购","True","","AQCF15-间接采购-金额＜100K(CAPEX)"
"AQCF50-间接采购-物流运输新增路线（金额<100)","custom","AQCF50","物流运输新增路线","True","","AQCF50-间接采购-物流运输新增路线（金额<100)"
"AQCF51-间接采购-物流运输新增路线（金额≥100K)","custom","AQCF51","物流运输新增路线","True","","AQCF51-间接采购-物流运输新增路线（金额≥100K)"
"AQCF52-间接采购-物流运输新增路线（金额≥250K)","custom","AQCF52","物流运输新增路线","True","","AQCF52-间接采购-物流运输新增路线（金额≥250K)"
"AQCF53-间接采购-物流运输新增路线（需GM审批)","custom","AQCF53","物流运输新增路线","True","","AQCF53-间接采购-物流运输新增路线（需GM审批)"
"AGYS01-邀请供应商名单审批-直接&间接采购-10K≤金额＜100K","custom","AGYS01","供应商邀请名单","True","","AGYS01-邀请供应商名单审批-直接&间接采购-10K≤金额＜100K"
"AGYS02-邀请供应商名单审批-直接&间接采购-10K≤金额＜100K(CAPEX)","custom","AGYS02","供应商邀请名单","True","","AGYS02-邀请供应商名单审批-直接&间接采购-10K≤金额＜100K(CAPEX)"
"AGYS10-邀请供应商名单审批-直接&间接采购-金额≥100K","custom","AGYS10","供应商邀请名单","True","","AGYS10-邀请供应商名单审批-直接&间接采购-金额≥100K"
"AGYS11-邀请供应商名单审批-直接&间接采购-金额≥500K","custom","AGYS11","供应商邀请名单","True","","AGYS11-邀请供应商名单审批-直接&间接采购-金额≥500K"
"AGYS20-邀请供应商名单审批-储运负责招标项目","custom","AGYS20","供应商邀请名单","False","","AGYS20-邀请供应商名单审批-储运负责招标项目"
"AGYS21-邀请供应商名单审批-储运负责招标项目(新供应商资质审核)","custom","AGYS21","供应商邀请名单","False","","AGYS21-邀请供应商名单审批-储运负责招标项目(新供应商资质审核)"
"AGYS30-邀请供应商名单审批-期货公司招标名单审批","custom","AGYS30","供应商邀请名单","True","","AGYS30-邀请供应商名单审批-期货公司招标名单审批"
"提示:可以输入关键字按回车搜索项目!","custom","0000","","True","","提示:可以输入关键字按回车搜索项目!"
"AJGL01-固定挂牌价+/-固定费用","custom","AJGL01","价格联动","True","","AJGL01-固定挂牌价+/-固定费用"
"AJGL02-原材料基准价+/-固定费用(财务影响≤10%且影响金额＜10K)","custom","AJGL02","价格联动","True","","AJGL02-原材料基准价+/-固定费用(财务影响≤10%且影响金额＜10K)"
"AJGL03-原材料基准价+/-固定费用(财务影响＞10%或影响金额≥10K)","custom","AJGL03","价格联动","True","","AJGL03-原材料基准价+/-固定费用(财务影响＞10%或影响金额≥10K)"
"AYFK01-预付款金额≤3万","custom","AYFK01","QCF比价单预付款","True","","AYFK01-预付款金额≤3万"
"AYFK02-3万＜预付款金额≤10万（小于等于合同金额的 50%）","custom","AYFK02","QCF比价单预付款","True","","AYFK02-3万＜预付款金额≤10万（小于等于合同金额的 50%）"
"AYFK03-3万＜预付款金额≤10万（大于合同金额的 50%）","custom","AYFK03","QCF比价单预付款","True","","AYFK03-3万＜预付款金额≤10万（大于合同金额的 50%）"
"AYFK04-预付款金额＞10万","custom","AYFK04","QCF比价单预付款","True","","AYFK04-预付款金额＞10万"
"AJCG01-紧急采购-金额<2k","custom","AJCG01","紧急采购","True","","AJCG01-紧急采购-金额<2k"
"AJCG02-紧急采购-2K<金额<10K","custom","AJCG02","紧急采购","True","","AJCG02-紧急采购-2K<金额<10K"
"AJCG03-紧急采购-2K<金额<10K(CAPEX)","custom","AJCG03","紧急采购","True","","AJCG03-紧急采购-2K<金额<10K(CAPEX)"
"AJCG04-紧急采购-金额≥10K","custom","AJCG04","紧急采购","True","","AJCG04-紧急采购-金额≥10K"
"AQCF16-间接采购-250K≤金额＜2500K(加签CFO,CEO))","custom","AQCF16","QCF比价单间接采购","True","","AQCF16-间接采购-250K≤金额＜2500K(加签CFO,CEO))"
