"ItemName","ValueType","ItemCode","ParentItemCode","IsActive","ItemName_en-US","ItemName_zh-Hans"
"AD01-特种设备报检、报停、、变更、启用、使用状况自查表、环境说明等","custom","AD01","A03","False","",""
"AD02-向省电力局递交直接交易试点申请等材料","custom","AD02","A03","False","",""
"AD03-公司营业执照","custom","AD03","A03","False","",""
"AD04-向供电局递交停电申请","custom","AD04","A03","False","",""
"AD05-向环保局提交污水在线监测设备停机报告","custom","AD05","A03","False","",""
"AD06-污水在线监测运维满意度调查表","custom","AD06","A03","False","",""
"AD07-向岩东污水厂递交关于公司停机时污水停止排放的通知","custom","AD07","A03","False","",""
"AD08-废水处理季度结算单","custom","AD08","A03","False","",""
"AD09-政府相关部门下达的需盖章的各类节能文件 (北仑区经信局、发改委等相关政府部门)","custom","AD09","A03","False","",""
"AD10-用水计划指标 (北仑区燃气供节水管理办公室)","custom","AD10","A03","False","",""
"AO01-行政事务（行政部）","custom","AO01","A15","False","",""
"CD01-证件年检所用资料（除证照本身）","custom","CD01","A10","False","",""
"CD02-保险理赔资料","custom","CD02","A10","False","",""
"CD03-口岸部门（海事、边检等）","custom","CD03","A10","False","",""
"CD04-特种设备和其他计量设备的检验","custom","CD04","A10","False","",""
"CD05-ISO认证、外审资料","custom","CD05","A10","False","",""
"CD06-仓储存货询证函及其它商务往来文件","custom","CD06","A10","False","",""
"CD07-合作单位要求提供码头、仓储公司营业执照等加盖公章","custom","CD07","A10","False","",""
"CD08-装卸服务合同","custom","CD08","A10","False","",""
"EH01-EHS事务","custom","EH01","A16","False","",""
"FI01-纳税申报表(除所得税外)","custom","FI01","A39","False","","FI01-纳税申报表(除所得税外)"
"FI02-纳税申报表(季度和年度所得)","custom","FI02","A39","False","","FI02-纳税申报表(季度和年度所得)"
"FI03-提供税务局相关的文件","custom","FI03","A02","False","",""
"FI04-银行对帐单","custom","FI04","A02","False","",""
"FI05-银行询证函","custom","FI05","A02","False","",""
"FI06-客户、供应商对帐单","custom","FI06","A02","False","",""
"FI07-银行资料变更","custom","FI07","A02","False","",""
"FI08-零用金报销付款清单","custom","FI08","A02","False","",""
"FI09-银行手续费增值税发票申请","custom","FI09","A02","False","",""
"FI10-支票购买","custom","FI10","A02","False","",""
