"ItemName","ValueType","ItemCode","ParentItemCode","IsActive","ItemName_en-US","ItemName_zh-Hans"
"C15910000 - 总经办","custom","C15910000","中山市蕙丰投资咨询有限公司","False","",""
"C15910100 - 市场部","custom","C15910100","中山市蕙丰投资咨询有限公司","False","",""
"C15910200","custom","C15910200","中山市蕙丰投资咨询有限公司","False","",""
"C15910300 - 人事部","custom","C15910300","中山市蕙丰投资咨询有限公司","False","",""
"C15910400 - 行政部","custom","C15910400","中山市蕙丰投资咨询有限公司","False","",""
"C15910500 - 法务部","custom","C15910500","中山市蕙丰投资咨询有限公司","False","",""
"C15910600 - 战略与规划部","custom","C15910600","中山市蕙丰投资咨询有限公司","False","",""
"C15910700 - 企业事务部","custom","C15910700","中山市蕙丰投资咨询有限公司","False","",""
"C15910800 - 财务部","custom","C15910800","中山市蕙丰投资咨询有限公司","False","",""
"C15910900 - IT部","custom","C15910900","中山市蕙丰投资咨询有限公司","False","",""
"C15911000 - 采购部","custom","C15911000","中山市蕙丰投资咨询有限公司","False","",""
"C15911100 - 业务伙伴及内控部","custom","C15911100","中山市蕙丰投资咨询有限公司","False","",""
"C15911200 - 内审部","custom","C15911200","中山市蕙丰投资咨询有限公司","False","",""
"C15911300 - 信用风险部","custom","C15911300","中山市蕙丰投资咨询有限公司","False","",""
"C15919900 - 公共管理费用","custom","C15919900","中山市蕙丰投资咨询有限公司","False","",""
"C15929000 - 销售部","custom","C15929000","中山市蕙丰投资咨询有限公司","False","",""
"C15960000 - 其他","custom","C15960000","中山市蕙丰投资咨询有限公司","False","",""
"C15810200 - 研发部","custom","C15810200","华丰食品（咸阳）有限公司","True","",""
"C15810300 - 人事部","custom","C15810300","华丰食品（咸阳）有限公司","True","",""
"C15810800 - 财务部","custom","C15810800","华丰食品（咸阳）有限公司","True","",""
"C15811000 - 采购部","custom","C15811000","华丰食品（咸阳）有限公司","True","",""
"C15811100 - 内控部","custom","C15811100","华丰食品（咸阳）有限公司","False","",""
"C15811200 - 内审部","custom","C15811200","华丰食品（咸阳）有限公司","False","",""
"C15811800 - 金棕榈","custom","C15811800","华丰食品（咸阳）有限公司","False","",""
"C15811900 - 生产中心","custom","C15811900","华丰食品（咸阳）有限公司","True","",""
"C15811901 - EHS","custom","C15811901","华丰食品（咸阳）有限公司","True","",""
"C15819900 - 公共管理费用","custom","C15819900","华丰食品（咸阳）有限公司","True","",""
"C15829000 - 销售费用","custom","C15829000","华丰食品（咸阳）有限公司","True","",""
"C15850000 - 厂长办公室","custom","C15850000","华丰食品（咸阳）有限公司","True","",""
"C15850101 - 行政","custom","C15850101","华丰食品（咸阳）有限公司","True","",""
"C15850102 - 车队司机","custom","C15850102","华丰食品（咸阳）有限公司","True","",""
"C15850103 - 食堂","custom","C15850103","华丰食品（咸阳）有限公司","True","",""
"C15850104 - 门卫","custom","C15850104","华丰食品（咸阳）有限公司","True","",""
"C15850201 - 制造部公共","custom","C15850201","华丰食品（咸阳）有限公司","True","",""
"C15850202 - 制面科","custom","C15850202","华丰食品（咸阳）有限公司","True","",""
"C15850203 - 冰品科","custom","C15850203","华丰食品（咸阳）有限公司","True","",""
"C15850205 - 冰品保全组","custom","C15850205","华丰食品（咸阳）有限公司","True","",""
"C15850206 - 面品保全组","custom","C15850206","华丰食品（咸阳）有限公司","True","",""
"C15850301 - 面品生产车间","custom","C15850301","华丰食品（咸阳）有限公司","False","",""
"C15850302 - 冰品软管车间","custom","C15850302","华丰食品（咸阳）有限公司","False","",""
"C15850303 - 冰品车间","custom","C15850303","华丰食品（咸阳）有限公司","False","",""
"C15850304 - 粉包生产车间","custom","C15850304","华丰食品（咸阳）有限公司","False","",""
"C15850305 - 酱包生产车间","custom","C15850305","华丰食品（咸阳）有限公司","False","",""
"C15850306 - 面品半成品车间","custom","C15850306","华丰食品（咸阳）有限公司","False","",""
"C15850307 - 棕油加工车间","custom","C15850307","华丰食品（咸阳）有限公司","False","",""
"C15850308 - 造粒车间","custom","C15850308","华丰食品（咸阳）有限公司","False","",""
"C15850400 - 委外加工","custom","C15850400","华丰食品（咸阳）有限公司","True","",""
"C15850501 - 计划统计科","custom","C15850501","华丰食品（咸阳）有限公司","True","",""
"C15850502 - 仓储物流科","custom","C15850502","华丰食品（咸阳）有限公司","True","",""
"C15850503 - 制面搬运","custom","C15850503","华丰食品（咸阳）有限公司","True","",""
"C15850505 - 冰品搬运","custom","C15850505","华丰食品（咸阳）有限公司","True","",""
"C15850601 - 品保部","custom","C15850601","华丰食品（咸阳）有限公司","True","",""
"C15850701 - 动力科","custom","C15850701","华丰食品（咸阳）有限公司","True","",""
"C15850801 - 环安卫 EHS","custom","C15850801","华丰食品（咸阳）有限公司","True","",""
"C15859801 - 公共制造费用","custom","C15859801","华丰食品（咸阳）有限公司","True","",""
"C15860000 - 其他","custom","C15860000","华丰食品（咸阳）有限公司","False","",""
"C15710200 - 研发部","custom","C15710200","华丰食品（阜新）有限公司","True","",""
"C15710300 - 人事部","custom","C15710300","华丰食品（阜新）有限公司","True","",""
"C15710800 - 财务部","custom","C15710800","华丰食品（阜新）有限公司","True","",""
"C15711000 - 采购部","custom","C15711000","华丰食品（阜新）有限公司","True","",""
"C15711100 - 内控部","custom","C15711100","华丰食品（阜新）有限公司","True","",""
"C15711200 - 内审部","custom","C15711200","华丰食品（阜新）有限公司","False","",""
"C15711800 - 金棕榈","custom","C15711800","华丰食品（阜新）有限公司","False","",""
"C15711900 - 生产中心","custom","C15711900","华丰食品（阜新）有限公司","True","",""
"C15711901 - EHS","custom","C15711901","华丰食品（阜新）有限公司","True","",""
"C15719900 - 公共管理费用","custom","C15719900","华丰食品（阜新）有限公司","True","",""
"C15722103 - 赤峰外围","custom","C15722103","华丰食品（阜新）有限公司","True","",""
"C15722301 - 哈尔滨所","custom","C15722301","华丰食品（阜新）有限公司","True","",""
"C15722303 - 牡丹江所","custom","C15722303","华丰食品（阜新）有限公司","True","",""
"C15722304 - 齐齐哈尔外围","custom","C15722304","华丰食品（阜新）有限公司","True","",""
"C15729000 - 销售费用","custom","C15729000","华丰食品（阜新）有限公司","True","",""
"C15750000 - 厂长办公室","custom","C15750000","华丰食品（阜新）有限公司","True","",""
"C15750101 - 行政","custom","C15750101","华丰食品（阜新）有限公司","True","",""
"C15750102 - 车队司机","custom","C15750102","华丰食品（阜新）有限公司","True","",""
"C15750103 - 食堂","custom","C15750103","华丰食品（阜新）有限公司","True","",""
"C15750104 - 门卫","custom","C15750104","华丰食品（阜新）有限公司","True","",""
"C15750201 - 制造部公共","custom","C15750201","华丰食品（阜新）有限公司","True","",""
"C15750202 - 制面科","custom","C15750202","华丰食品（阜新）有限公司","True","",""
"C15750203 - 冰品科","custom","C15750203","华丰食品（阜新）有限公司","True","",""
"C15750205 - 冰品保全组","custom","C15750205","华丰食品（阜新）有限公司","True","",""
"C15750206 - 面品保全组","custom","C15750206","华丰食品（阜新）有限公司","True","",""
"C15750301 - 面品生产车间","custom","C15750301","华丰食品（阜新）有限公司","False","",""
"C15750302 - 冰品软管车间","custom","C15750302","华丰食品（阜新）有限公司","False","",""
"C15750303 - 冰品车间","custom","C15750303","华丰食品（阜新）有限公司","False","",""
"C15750304 - 粉包生产车间","custom","C15750304","华丰食品（阜新）有限公司","False","",""
"C15750305 - 酱包生产车间","custom","C15750305","华丰食品（阜新）有限公司","False","",""
"C15750306 - 面品半成品车间","custom","C15750306","华丰食品（阜新）有限公司","False","",""
"C15750307 - 棕油加工车间","custom","C15750307","华丰食品（阜新）有限公司","False","",""
"C15750308 - 造粒车间","custom","C15750308","华丰食品（阜新）有限公司","False","",""
"C15750400 - 委外加工","custom","C15750400","华丰食品（阜新）有限公司","True","",""
"C15750501 - 计划统计科","custom","C15750501","华丰食品（阜新）有限公司","True","",""
"C15750502 - 仓储物流科","custom","C15750502","华丰食品（阜新）有限公司","True","",""
"C15750503 - 制面搬运","custom","C15750503","华丰食品（阜新）有限公司","True","",""
"C15750505 - 冰品搬运","custom","C15750505","华丰食品（阜新）有限公司","True","",""
"C15750601 - 品保部","custom","C15750601","华丰食品（阜新）有限公司","True","",""
"C15750701 - 动力科","custom","C15750701","华丰食品（阜新）有限公司","True","",""
"C15750801 - 环安卫 EHS","custom","C15750801","华丰食品（阜新）有限公司","True","",""
"C15759801 - 公共制造费用","custom","C15759801","华丰食品（阜新）有限公司","True","",""
"C15760000 - 其他","custom","C15760000","华丰食品（阜新）有限公司","False","",""
"C16010200 - 研发部","custom","C16010200","武汉金鼎食品有限公司","True","",""
"C16010300 - 人事部","custom","C16010300","武汉金鼎食品有限公司","True","",""
"C16010800 - 财务部","custom","C16010800","武汉金鼎食品有限公司","True","",""
"C16011000 - 采购部","custom","C16011000","武汉金鼎食品有限公司","True","",""
"C16011100 - 内控部","custom","C16011100","武汉金鼎食品有限公司","True","",""
"C16011200 - 内审部","custom","C16011200","武汉金鼎食品有限公司","False","",""
"C16011800 - 金棕榈","custom","C16011800","武汉金鼎食品有限公司","False","",""
"C16011900 - 生产中心","custom","C16011900","武汉金鼎食品有限公司","True","",""
"C16011901 - EHS","custom","C16011901","武汉金鼎食品有限公司","True","",""
"C16019900 - 公共管理费用","custom","C16019900","武汉金鼎食品有限公司","True","",""
"C16029000 - 销售费用","custom","C16029000","武汉金鼎食品有限公司","True","",""
"C16050000 - 厂长办公室","custom","C16050000","武汉金鼎食品有限公司","True","",""
"C16050101 - 行政","custom","C16050101","武汉金鼎食品有限公司","True","",""
"C16050102 - 车队司机","custom","C16050102","武汉金鼎食品有限公司","True","",""
"C16050103 - 食堂","custom","C16050103","武汉金鼎食品有限公司","True","",""
"C16050104 - 门卫","custom","C16050104","武汉金鼎食品有限公司","True","",""
"C16050201 - 制造部公共","custom","C16050201","武汉金鼎食品有限公司","True","",""
"C16050202 - 制面科","custom","C16050202","武汉金鼎食品有限公司","True","",""
"C16050203 - 冰品科","custom","C16050203","武汉金鼎食品有限公司","True","",""
"C16050205 - 冰品保全组","custom","C16050205","武汉金鼎食品有限公司","True","",""
"C16050206 - 面品保全组","custom","C16050206","武汉金鼎食品有限公司","True","",""
"C16050301 - 面品生产车间","custom","C16050301","武汉金鼎食品有限公司","False","",""
"C16050302 - 冰品软管车间","custom","C16050302","武汉金鼎食品有限公司","False","",""
"C16050303 - 冰品车间","custom","C16050303","武汉金鼎食品有限公司","False","",""
"C16050304 - 粉包生产车间","custom","C16050304","武汉金鼎食品有限公司","False","",""
"C16050305 - 酱包生产车间","custom","C16050305","武汉金鼎食品有限公司","False","",""
"C16050306 - 面品半成品车间","custom","C16050306","武汉金鼎食品有限公司","False","",""
"C16050307 - 棕油加工车间","custom","C16050307","武汉金鼎食品有限公司","False","",""
"C16050308 - 造粒车间","custom","C16050308","武汉金鼎食品有限公司","False","",""
"C16050400 - 委外加工","custom","C16050400","武汉金鼎食品有限公司","True","",""
"C16050501 - 计划统计科","custom","C16050501","武汉金鼎食品有限公司","True","",""
"C16050502 - 仓储物流科","custom","C16050502","武汉金鼎食品有限公司","True","",""
"C16050503 - 制面搬运","custom","C16050503","武汉金鼎食品有限公司","True","",""
"C16050505 - 冰品搬运","custom","C16050505","武汉金鼎食品有限公司","True","",""
"C16050601 - 品保部","custom","C16050601","武汉金鼎食品有限公司","True","",""
"C16050701 - 动力科","custom","C16050701","武汉金鼎食品有限公司","True","",""
"C16050801 - 环安卫 EHS","custom","C16050801","武汉金鼎食品有限公司","True","",""
"C16059801 - 公共制造费用","custom","C16059801","武汉金鼎食品有限公司","True","",""
"C16060000 - 其他","custom","C16060000","武汉金鼎食品有限公司","False","",""
"C16110000 - 总经办","custom","C16110000","珠海市华丰彩印有限公司","True","",""
"C16110100 - 市场部","custom","C16110100","珠海市华丰彩印有限公司","True","",""
"C16110200 - 研发部","custom","C16110200","珠海市华丰彩印有限公司","True","",""
"C16110300 - 人事部","custom","C16110300","珠海市华丰彩印有限公司","True","",""
"C16110400 - 行政部","custom","C16110400","珠海市华丰彩印有限公司","True","",""
"C16110500 - 法务部","custom","C16110500","珠海市华丰彩印有限公司","True","",""
"C16110600 - 战略与规划部","custom","C16110600","珠海市华丰彩印有限公司","False","",""
"C16110700 - 企业事务部","custom","C16110700","珠海市华丰彩印有限公司","True","",""
"C16110800 - 财务部","custom","C16110800","珠海市华丰彩印有限公司","True","",""
"C16110900 - IT部","custom","C16110900","珠海市华丰彩印有限公司","True","",""
"C16111000 - 采购部","custom","C16111000","珠海市华丰彩印有限公司","True","",""
"C16111100 - 业务伙伴及内控部","custom","C16111100","珠海市华丰彩印有限公司","True","",""
"C16111200 - 内审部","custom","C16111200","珠海市华丰彩印有限公司","False","",""
"C16111300 - 信用风险部","custom","C16111300","珠海市华丰彩印有限公司","False","",""
"C16119900 - 公共管理费用","custom","C16119900","珠海市华丰彩印有限公司","True","",""
"C16129000 - 销售部","custom","C16129000","珠海市华丰彩印有限公司","True","",""
"C16160000 - 其他","custom","C16160000","珠海市华丰彩印有限公司","False","",""
"C16210000 - 总经办","custom","C16210000","珠海市华丰薄膜有限公司","False","",""
"C16210100 - 市场部","custom","C16210100","珠海市华丰薄膜有限公司","False","",""
"C16210200 - 研发部","custom","C16210200","珠海市华丰薄膜有限公司","False","",""
"C16210300 - 人事部","custom","C16210300","珠海市华丰薄膜有限公司","False","",""
"C16210400 - 行政部","custom","C16210400","珠海市华丰薄膜有限公司","False","",""
"C16210500 - 法务部","custom","C16210500","珠海市华丰薄膜有限公司","False","",""
"C16210600 - 战略与规划部","custom","C16210600","珠海市华丰薄膜有限公司","False","",""
"C16210700 - 企业事务部","custom","C16210700","珠海市华丰薄膜有限公司","False","",""
"C16210800 - 财务部","custom","C16210800","珠海市华丰薄膜有限公司","False","",""
"C16210900 - IT部","custom","C16210900","珠海市华丰薄膜有限公司","False","",""
"C16211000 - 采购部","custom","C16211000","珠海市华丰薄膜有限公司","False","",""
"C16211100 - 业务伙伴及内控部","custom","C16211100","珠海市华丰薄膜有限公司","False","",""
"C16211200 - 内审部","custom","C16211200","珠海市华丰薄膜有限公司","False","",""
"C16211300 - 信用风险部","custom","C16211300","珠海市华丰薄膜有限公司","False","",""
"C16219900 - 公共管理费用","custom","C16219900","珠海市华丰薄膜有限公司","False","",""
"C16229000 - 销售部","custom","C16229000","珠海市华丰薄膜有限公司","False","",""
"C16260000 - 其他","custom","C16260000","珠海市华丰薄膜有限公司","False","",""
"C14910000 - 总经办","custom","C14910000","珠海市华丰食品工业（集团）有限公司","True","",""
"C14910100 - 市场部","custom","C14910100","珠海市华丰食品工业（集团）有限公司","True","",""
"C14910200 - 研发部","custom","C14910200","珠海市华丰食品工业（集团）有限公司","True","",""
"C14910300 - 人事部","custom","C14910300","珠海市华丰食品工业（集团）有限公司","True","",""
"C14910400 - 行政部","custom","C14910400","珠海市华丰食品工业（集团）有限公司","True","",""
"C14910500 - 法务部","custom","C14910500","珠海市华丰食品工业（集团）有限公司","True","",""
"C14910600 - 战略与规划部","custom","C14910600","珠海市华丰食品工业（集团）有限公司","False","",""
"C14910700 - 企业事务部","custom","C14910700","珠海市华丰食品工业（集团）有限公司","True","",""
"C14910800 - 财务部","custom","C14910800","珠海市华丰食品工业（集团）有限公司","True","",""
"C14910900 - IT部","custom","C14910900","珠海市华丰食品工业（集团）有限公司","True","",""
"C14911000 - 采购部","custom","C14911000","珠海市华丰食品工业（集团）有限公司","True","",""
"C14911100 - 业务伙伴及内控部","custom","C14911100","珠海市华丰食品工业（集团）有限公司","True","",""
"C14911200 - 内审部","custom","C14911200","珠海市华丰食品工业（集团）有限公司","False","",""
"C14911300 - 信用风险部","custom","C14911300","珠海市华丰食品工业（集团）有限公司","False","",""
"C14919900 - 公共管理费用","custom","C14919900","珠海市华丰食品工业（集团）有限公司","True","",""
"C14929000 - 销售部","custom","C14929000","珠海市华丰食品工业（集团）有限公司","True","",""
"C14960000 - 其他","custom","C14960000","珠海市华丰食品工业（集团）有限公司","False","",""
"C15110200 - 研发部","custom","C15110200","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15110300 - 人事部","custom","C15110300","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15110800 - 财务部","custom","C15110800","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15111000 - 采购部","custom","C15111000","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15111100 - 内控部","custom","C15111100","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15111200 - 内审部","custom","C15111200","珠海市华丰食品工业（集团）有限公司东阿分公司","False","",""
"C15111800 - 金棕榈","custom","C15111800","珠海市华丰食品工业（集团）有限公司东阿分公司","False","",""
"C15111900 - 生产中心","custom","C15111900","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15111901 - EHS","custom","C15111901","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15119900 - 公共管理费用","custom","C15119900","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15129000 - 销售费用","custom","C15129000","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15150000 - 厂长办公室","custom","C15150000","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15150101 - 行政","custom","C15150101","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15150102 - 车队司机","custom","C15150102","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15150103 - 食堂","custom","C15150103","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15150104 - 门卫","custom","C15150104","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15150201 - 制造部公共","custom","C15150201","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15150202 - 制面科","custom","C15150202","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15150203 - 冰品科","custom","C15150203","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15150205 - 冰品保全组","custom","C15150205","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15150301 - 面品生产车间","custom","C15150301","珠海市华丰食品工业（集团）有限公司东阿分公司","False","",""
"C15150302 - 冰品软管车间","custom","C15150302","珠海市华丰食品工业（集团）有限公司东阿分公司","False","",""
"C15150303 - 冰品车间","custom","C15150303","珠海市华丰食品工业（集团）有限公司东阿分公司","False","",""
"C15150304 - 粉包生产车间","custom","C15150304","珠海市华丰食品工业（集团）有限公司东阿分公司","False","",""
"C15150305 - 酱包生产车间","custom","C15150305","珠海市华丰食品工业（集团）有限公司东阿分公司","False","",""
"C15150306 - 面品半成品车间","custom","C15150306","珠海市华丰食品工业（集团）有限公司东阿分公司","False","",""
"C15150307 - 棕油加工车间","custom","C15150307","珠海市华丰食品工业（集团）有限公司东阿分公司","False","",""
"C15150308 - 造粒车间","custom","C15150308","珠海市华丰食品工业（集团）有限公司东阿分公司","False","",""
"C15150400 - 委外加工","custom","C15150400","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15150501 - 计划统计科","custom","C15150501","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15150502 - 仓储物流科","custom","C15150502","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15150503 - 制面搬运","custom","C15150503","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
