"ItemName","ValueType","ItemCode","ParentItemCode","IsActive","ItemName_en-US","ItemName_zh-Hans"
"FCZBB10-CAPEX 资本性支出变更-工厂-变动<10% 且金额<5万(IT CAPEX)","custom","FCZBB10","CAPEX资本性支出变更","True","","FCZBB10-CAPEX 资本性支出变更-工厂-变动<10% 且金额<5万(IT CAPEX)"
"FCZBB20- CAPEX 资本性支出变更-工厂-CAPEX项目停工或逾期(IC项目)","custom","FCZBB20","CAPEX资本性支出变更","True","","FCZBB20- CAPEX 资本性支出变更-工厂-CAPEX项目停工或逾期(IC项目)"
"FCZBB11-CAPEX 资本性支出变更-工厂-变动<10% 且金额<5万(地块与基建)","custom","FCZBB11","CAPEX资本性支出变更","True","","FCZBB11-CAPEX 资本性支出变更-工厂-变动<10% 且金额<5万(地块与基建)"
"FCZBB12-CAPEX 资本性支出变更-工厂-变动<10% 且金额<5万(IC项目)","custom","FCZBB12","CAPEX资本性支出变更","True","","FCZBB12-CAPEX 资本性支出变更-工厂-变动<10% 且金额<5万(IC项目)"
"FCZBB13-CAPEX 资本性支出变更-工厂-变动<10% 且金额<5万(其他CAPEX)","custom","FCZBB13","CAPEX资本性支出变更","True","","FCZBB13-CAPEX 资本性支出变更-工厂-变动<10% 且金额<5万(其他CAPEX)"
"FCZBB14-CAPEX 资本性支出变更-工厂-变动≥10% 或金额≥5万(IT CAPEX)","custom","FCZBB14","CAPEX资本性支出变更","True","","FCZBB14-CAPEX 资本性支出变更-工厂-变动≥10% 或金额≥5万(IT CAPEX)"
"FCZBB15-CAPEX 资本性支出变更-工厂-变动≥10% 或金额≥5万(地块与基建)","custom","FCZBB15","CAPEX资本性支出变更","True","","FCZBB15-CAPEX 资本性支出变更-工厂-变动≥10% 或金额≥5万(地块与基建)"
"FCZBB16-CAPEX 资本性支出变更-工厂-变动≥10% 或金额≥5万(IC项目)","custom","FCZBB16","CAPEX资本性支出变更","True","","FCZBB16-CAPEX 资本性支出变更-工厂-变动≥10% 或金额≥5万(IC项目)"
"FCZBB18- CAPEX 资本性支出变更-工厂-CAPEX项目停工或逾期(IT CAPEX)","custom","FCZBB18","CAPEX资本性支出变更","True","","FCZBB18- CAPEX 资本性支出变更-工厂-CAPEX项目停工或逾期(IT CAPEX)"
"FCZBB17-CAPEX 资本性支出变更-工厂-变动≥10% 或金额≥5万(其他CAPEX)","custom","FCZBB17","CAPEX资本性支出变更","True","","FCZBB17-CAPEX 资本性支出变更-工厂-变动≥10% 或金额≥5万(其他CAPEX)"
"FCZBB19- CAPEX 资本性支出变更-工厂-CAPEX项目停工或逾期(地块与基建)","custom","FCZBB19","CAPEX资本性支出变更","True","","FCZBB19- CAPEX 资本性支出变更-工厂-CAPEX项目停工或逾期(地块与基建)"
