"ItemName","ValueType","ItemCode","ParentItemCode","IsActive","ItemName_en-US","ItemName_zh-Hans"
"FQCF01-直接采购-X<100K 并且单一工厂","custom","FQCF01","QCF比价单直接采购","True","","FQCF01-直接采购-X<100K 并且单一工厂"
"FQCF02-直接采购-集团采购","custom","FQCF02","QCF比价单直接采购","True","","FQCF02-直接采购-集团采购"
"FQCF03-直接采购- X≥100K 单一工厂直接采购","custom","FQCF03","QCF比价单直接采购","True","","FQCF03-直接采购- X≥100K 单一工厂直接采购"
"FQCF10-间接采购-＜100k（单一工厂)","custom","FQCF10","QCF比价单间接采购","True","","FQCF10-间接采购-＜100k（单一工厂)"
"FQCF11-间接采购-＜100k（总部/多工厂）（N5）","custom","FQCF11","QCF比价单间接采购","True","","FQCF11-间接采购-＜100k（总部/多工厂）（N5）"
"FQCF12-间接采购-100≤X＜ 2500k","custom","FQCF12","QCF比价单间接采购","True","","FQCF12-间接采购-100≤X＜ 2500k"
"FQCF13-间接采购-2500≤X＜12500k","custom","FQCF13","QCF比价单间接采购","True","","FQCF13-间接采购-2500≤X＜12500k"
"FQCF14-间接采购-≥12500k","custom","FQCF14","QCF比价单间接采购","True","","FQCF14-间接采购-≥12500k"
"FQCF20-间接采购-物流运输新增路线-＜100k（单一工厂）","custom","FQCF20","物流运输新增路线","True","","FQCF20-间接采购-物流运输新增路线-＜100k（单一工厂）"
"FQCF21-间接采购-物流运输新增路线-≥100k（单一工厂）","custom","FQCF21","物流运输新增路线","True","","FQCF21-间接采购-物流运输新增路线-≥100k（单一工厂）"
"FQCF15-间接采购-CAPEX","custom","FQCF15","QCF比价单间接采购","True","","FQCF15-间接采购-CAPEX"
"FQCF16-间接采购-＜100k（单一销售区域)","custom","FQCF16","QCF比价单间接采购","True","","FQCF16-间接采购-＜100k（单一销售区域)"
"FQCF04-直接采购-集团采购(金额大于100k)","custom","FQCF04","QCF比价单直接采购","True","","FQCF04-直接采购-集团采购(金额大于100k)"
"FGYS01-邀请供应商名单-10K<X<100K 并且单一工厂","custom","FGYS01","供应商邀请名单","True","","FGYS01-邀请供应商名单-10K<X<100K 并且单一工厂"
"FGYS02-邀请供应商名单-10K<X<100K 并且单一工厂(加签品研部负责人)","custom","FGYS02","供应商邀请名单","True","","FGYS02-邀请供应商名单-10K<X<100K 并且单一工厂(加签品研部负责人)"
