"ItemName","ValueType","ItemCode","ParentItemCode","IsActive","ItemOwners","ItemName_en-US","ItemName_zh-Hans"
"G007-采购类-非采购类合同协议-RHQ金额介于5万-10万","custom","G007","F09","True","","","G007-采购类-非采购类合同协议-RHQ金额介于5万-10万"
"G008-采购类-非采购类合同协议-RHQ金额超过10万","custom","G008","F09","True","","","G008-采购类-非采购类合同协议-RHQ金额超过10万"
"G009-采购类-非采购类合同协议-工厂金额不超过5万","custom","G009","F09","True","","","G009-采购类-非采购类合同协议-工厂金额不超过5万"
"G010-通用类-非采购类合同协议-工厂金额介于5万-10万","custom","G010","F09","True","","",""
"G011-采购类-非采购类合同协议-工厂金额超过10万","custom","G011","F09","True","","","G011-采购类-非采购类合同协议-工厂金额超过10万"
"G012-采购类-非采购类合同协议-区域销售金额不超过10万","custom","G012","F09","True","","","G012-采购类-非采购类合同协议-区域销售金额不超过10万"
"G013-采购类-非采购类合同协议-区域销售金额超过10万","custom","G013","F09","True","","","G013-采购类-非采购类合同协议-区域销售金额超过10万"
"G014-通用类-印章刻制变更销毁公章法人章","custom","G014","F13","True","","",""
"G015-通用类-印章刻制变更销毁财务专用章发票专用章- RHQ","custom","G015","F13","True","","",""
"G016-通用类-印章刻制变更销毁财务专用章发票专用章- 工厂","custom","G016","F13","True","","",""
"G017-通用类-印章刻制变更销毁 各分支机构负责人财务负责人名章 销毁审批)","custom","G017","F13","True","","",""
"G018-通用类-印章刻制变更销毁部门章","custom","G018","F13","True","","",""
"G019-印章保管人变更非同一事业部或同法人但印章保管的岗位发生变更","custom","G019","F13","True","","",""
"T005-非关联方的资金拆借包括借款或对外提供担保","custom","T005","F04","True","","","T005-非关联方的资金拆借包括借款或对外提供担保"
"L005-法务类-授权委托书授权函承诺函委托书等-东北销售","custom","L005","F08","False","","",""
"L006-法务类-授权委托书授权函承诺函委托书等-华东销售","custom","L006","F08","False","","",""
"L007-法务类-授权委托书授权函承诺函委托书等-华中销售","custom","L007","F08","False","","",""
"L008-法务类-授权委托书授权函承诺函委托书等-华南销售","custom","L008","F08","False","","",""
"L009-法务类-授权委托书授权函承诺函委托书等-华北销售","custom","L009","F08","False","","",""
"L010-法务类-授权委托书授权函承诺函委托书等-西北销售","custom","L010","F08","False","","",""
"L011-法务类-区域经销商开设网店授权-东北销售涉及电商","custom","L011","F08","True","","","L011-法务类-区域经销商开设网店授权-东北销售涉及电商"
"L012-法务类-区域经销商开设网店授权-华东销售涉及电商","custom","L012","F08","True","","","L012-法务类-区域经销商开设网店授权-华东销售涉及电商"
"L013-法务类-区域经销商开设网店授权-华中销售涉及电商","custom","L013","F08","True","","","L013-法务类-区域经销商开设网店授权-华中销售涉及电商"
"L014-法务类-区域经销商开设网店授权-华南销售涉及电商","custom","L014","F08","True","","","L014-法务类-区域经销商开设网店授权-华南销售涉及电商"
"L015-法务类-区域经销商开设网店授权-华北销售涉及电商","custom","L015","F08","True","","","L015-法务类-区域经销商开设网店授权-华北销售涉及电商"
"L016-法务类-区域经销商开设网店授权-西北销售涉及电商","custom","L016","F08","True","","","L016-法务类-区域经销商开设网店授权-西北销售涉及电商"
"L017-法务类-授权委托书，授权函，承诺函，委托书等（非诉讼如销售授权等）-工厂","custom","L017","F08","True","","","L017-法务类-授权委托书，授权函，承诺函，委托书等（非诉讼如销售授权等）-工厂"
"L018-法务类-公司董事法人变更经营范围变更","custom","L018","F08","True","","",""
"L019-法务类-诉讼类文件（服务合同， 法律流程性文件（诉讼案件涉及的法定代表人身份证明、授权委托书、起诉状、答辩状等）","custom","L019","F08","False","","","L019-法务类-诉讼类文件（服务合同， 法律流程性文件（诉讼案件涉及的法定代表人身份证明、授权委托书、起诉状、答辩状等）"
"S010-销售类-NBD经销商合同审批","custom","S010","F11","False","","",""
"G020-非常规销售合同/出售资产(已关闭)","custom","G020","F13","False","","","G020-非常规销售合同/出售资产(已关闭)"
"S011-标准经销商合同变更/非标经销商年度合同签署","custom","S011","F11","True","","",""
"S012-进出口合作协议","custom","S012","F11","False","","",""
"PR09-采购类-代工业务-新代工厂审批","custom","PR09","F09","False","","",""
"O004-RHQ部门事务","custom","O004","F03","False","","",""
"T006-银行账户开户与闭户&银行预留印鉴登记及变更","custom","T006","F04","True","","",""
"P003-厂房租赁及续租房产","custom","P003","F07","True","","","P003-厂房租赁及续租房产"
"G021-证照新办/注销-一般证照","custom","G021","F13","True","","","G021-证照新办/注销-一般证照"
"G022-证照变更(一般证照)","custom","G022","F13","True","","","G022-证照变更(一般证照)"
"G023-证照年审","custom","G023","F13","True","","",""
"S013-区域经销商开设网店授权","custom","S013","F11","False","","","S013-区域经销商开设网店授权"
"F014-公司信用评估和征信报告采集","custom","F014","F02","True","","","F014-公司信用评估和征信报告采集"
"G024-证照新办/注销(专业证照)","custom","G024","F13","True","","",""
"G999-系统测试配置非测试人员不要使用","custom","G999","F13","True","","",""
"S014-代工销售合同及保密协议等相关文件","custom","S014","F11","True","","",""
"A001-部门日常行政事务-RHQ电信网络业务，邀请函，介绍信，车辆注册及年审资料等","custom","A001","F10","True","","","A001-部门日常行政事务-RHQ电信网络业务，邀请函，介绍信，车辆注册及年审资料等"
"A002-部门日常行政事务-工厂电信网络业务，邀请函，介绍信，车辆注册及年审资料等","custom","A002","F10","True","","","A002-部门日常行政事务-工厂电信网络业务，邀请函，介绍信，车辆注册及年审资料等"
"A003-部门日常行政事务-区域销售电信网络业务，邀请函，介绍信，车辆注册及年审资料等","custom","A003","F10","True","","","A003-部门日常行政事务-区域销售电信网络业务，邀请函，介绍信，车辆注册及年审资料等"
"C001-企业事务类-企业事务对外函件用印","custom","C001","F12","True","","",""
"F001-财务报表报告-RHQ","custom","F001","F02","True","","",""
"F002-财务报表报告-工厂","custom","F002","F02","True","","",""
"F003-纳税申报表-RHQ","custom","F003","F02","True","","",""
"F004-纳税申报表-工厂","custom","F004","F02","True","","",""
"F005-银行对账单客户/供应商对账单等财务出具账单报表账户信息资料发票拒收证明等财务出具信息发票购买结汇材料询证函-RHQ","custom","F005","F02","True","","",""
"F006-银行对账单客户/供应商对账单等财务出具账单报表账户信息资料发票拒收证明等财务出具信息发票购买结汇材料询证函-工厂","custom","F006","F02","True","","",""
"F007-一般性财税事务-非涉税事务-RHQ","custom","F007","F02","False","","",""
"F008-一般性财税事务-非涉税事务-工厂","custom","F008","F02","False","","",""
"F009-一般性财税事务-涉税事务-RHQ","custom","F009","F02","False","","",""
"F010-一般性财税事务-涉税事务-工厂","custom","F010","F02","True","","",""
"F011-一般性财税事务-关联公司协议合同-RHQ","custom","F011","F02","False","","",""
"F012-一般性财税事务-关联公司协议合同-工厂","custom","F012","F02","False","","",""
"F013-保险(财产类)合同","custom","F013","F02","True","","",""
"G001-通用类-验收-工程类项目验收(工厂)","custom","G001","F13","False","","",""
"G002-通用类-验收-工程类项目验收(RHQ)","custom","G002","F13","False","","",""
"G003-通用类-验收-其他(工厂)","custom","G003","F13","False","","",""
"G004-通用类-验收-其他(工厂部门总监)","custom","G004","F13","False","","",""
"G005-通用类-验收-其他(RHQ)","custom","G005","F13","False","","",""
"G006-通用类-非采购类合同协议-RHQ金额不超过5万","custom","G006","F09","True","","",""
"H001-员工日常事务-薪资相关-上海","custom","H001","F01","True","","",""
"H002-员工日常事务-薪资相关-工厂","custom","H002","F01","True","","",""
"H003-员工日常事务-薪资相关-RHQ非上海","custom","H003","F01","True","","",""
"H004-员工日常事务-非薪资相关-RHQ","custom","H004","F01","True","","",""
"H005-员工日常事务-非薪资相关-工厂","custom","H005","F01","True","","",""
"H006-HR日常事务-日常事务如劳动合同外籍事务社保等-上海","custom","H006","F01","True","","",""
"H007-HR日常事务-招聘-上海","custom","H007","F01","True","","",""
"H008-HR日常事务-培训-上海","custom","H008","F01","True","","",""
"H009-HR日常事务-福利保险-上海","custom","H009","F01","False","","",""
"H010-HR日常事务-日常事务如劳动合同工时制社保等-销售区域及工厂","custom","H010","F01","True","","","H010-HR日常事务-日常事务如劳动合同工时制社保等-销售区域及工厂"
"H011-HR日常事务-招聘-销售区域及工厂","custom","H011","F01","True","","","H011-HR日常事务-招聘-销售区域及工厂"
"H012-HR日常事务-培训-工厂","custom","H012","F01","False","","",""
"H013-HR日常事务-福利保险-工厂","custom","H013","F01","False","","",""
"H014-HR日常事务-日常事务如劳动合同工时制社保等-RHQ非上海","custom","H014","F01","False","","",""
"H015-HR日常事务-招聘-RHQ非上海","custom","H015","F01","False","","",""
"H016-HR日常事务-培训-RHQ非上海","custom","H016","F01","False","","",""
"H017-HR日常事务-福利保险-RHQ非上海","custom","H017","F01","False","","",""
